id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"solfacil_batteries_1","","UNIDADE DE CONTROLE [PCU-F52] - PARA BATERIA LX F3.2-20","SOLFACIL","","batteries","5322.94","","","","","/catalog/images/SOLFACIL-BATTERIES/IMAGE_PRODUCT_000612.jpg","loja.solfacil.com.br","true","UNIDADE DE CONTROLE [PCU-F52] - PARA BATERIA LX F3.2-20","","0"
"solfacil_batteries_2","","BATERIA LFP LYNX F (G2) LX F3.2-20 - 3.2KWH - GOODWE","GOODWE","","batteries","5983.17","3200","","","","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GOODWE-EZLOGGER PRO_image.png","loja.solfacil.com.br","true","BATERIA LFP LYNX F (G2) LX F3.2-20 - 3.2KWH - GOODWE","","1"
"solfacil_batteries_3","","BATERIA UNIP LFP UPLFP48100 EN - 48V 100AH RACK - LP 5.1KWH - UNIPOWER","SOLFACIL","","batteries","6255.94","5100","","48","100","","loja.solfacil.com.br","true","BATERIA UNIP LFP UPLFP48100 EN - 48V 100AH RACK - LP 5.1KWH - UNIPOWER","","3"
"solfacil_batteries_4","","BATERIA LFP LYNX U (G3) LXU 5.0-30 - 5KWH - GOODWE","GOODWE","","batteries","7323.74","5000","","","","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GOODWE-EZLOGGER PRO_image.png","loja.solfacil.com.br","true","BATERIA LFP LYNX U (G3) LXU 5.0-30 - 5KWH - GOODWE","","1"
"FORTLEV-GROWATT-AXE-5.0L","5.0L","Bateria Growatt AXE 5.0L LiFePO4 5kWh","Growatt","5.0L","batteries","6716.83","5","","","","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GROWATT-MAC 36KTL3-XL - AFCI_IMAGE_PRODUCT_600303.png","","true","Bateria Growatt AXE 5.0L LiFePO4 5kWh","","1"
"solfacil_batteries_1","CONTROLE","UNIDADE DE CONTROLE [PCU-F52] - PARA BATERIA LX F3.2-20","Solfacil","CONTROLE","batteries","5322.94","","","","","","","true","UNIDADE DE CONTROLE [PCU-F52] - PARA BATERIA LX F3.2-20","","0"
"solfacil_batteries_2","LYNX","BATERIA LFP LYNX F (G2) LX F3.2-20 - 3.2KWH - GOODWE","GoodWe","LYNX","batteries","5983.17","3.2","","","","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GOODWE-EZLOGGER PRO_image.png","","true","BATERIA LFP LYNX F (G2) LX F3.2-20 - 3.2KWH - GOODWE","","1"
"solfacil_batteries_3","LFP","BATERIA UNIP LFP UPLFP48100 EN - 48V 100AH RACK - LP 5.1KWH - UNIPOWER","Solfacil","LFP","batteries","6255.94","5.1","","48","100","","","true","BATERIA UNIP LFP UPLFP48100 EN - 48V 100AH RACK - LP 5.1KWH - UNIPOWER","","3"
"solfacil_batteries_4","LYNX","BATERIA LFP LYNX U (G3) LXU 5.0-30 - 5KWH - GOODWE","GoodWe","LYNX","batteries","7323.74","5","","","","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GOODWE-EZLOGGER PRO_image.png","","true","BATERIA LFP LYNX U (G3) LXU 5.0-30 - 5KWH - GOODWE","","1"
