id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-INV-GROWATT-75000W","Inversor Grid-Tie Growatt MAX 75KTL3-XH 75kW Trifásico 380V 6 MPPT","Growatt","75KW","inverters","24999","75","75","380","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Growatt MAX 75KTL3-XH 75kW Trifásico 380V 6 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-100000W","Inversor Grid-Tie Growatt MAX 100KTL3-XH 100kW Trifásico 380V 8 MPPT","Growatt","100KW","inverters","32999","100","100","380","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Growatt MAX 100KTL3-XH 100kW Trifásico 380V 8 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-125000W","Inversor Grid-Tie Growatt MAX 125KTL3-XH 125kW Trifásico 380V 10 MPPT","Growatt","125KW","inverters","36667","125","125","380","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Growatt MAX 125KTL3-XH 125kW Trifásico 380V 10 MPPT","","7"
"odex_inverters_ODEX-INV-CHINT-3000W","Inversor Grid-Tie Chint NXI-3.0K-T2 3kW Monofásico 220V 2 MPPT","Chint Power","NXI-3.0K-T2","inverters","1449","3","3","220","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Chint NXI-3.0K-T2 3kW Monofásico 220V 2 MPPT","","7"
"odex_inverters_ODEX-INV-CHINT-5000W","Inversor Grid-Tie Chint NXI-5.0K-T2 5kW Monofásico 220V 2 MPPT","Chint Power","NXI-5.0K-T2","inverters","2299","5","5","220","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Chint NXI-5.0K-T2 5kW Monofásico 220V 2 MPPT","","7"
"odex_inverters_ODEX-INV-CHINT-8000W","Inversor Grid-Tie Chint NXI-8.0K-T3 8kW Trifásico 380V 2 MPPT","Chint Power","NXI-8.0K-T3","inverters","3699","8","8","380","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Chint NXI-8.0K-T3 8kW Trifásico 380V 2 MPPT","","7"
"odex_inverters_ODEX-INV-CHINT-10000W","Inversor Grid-Tie Chint NXI-10K-T3 10kW Trifásico 380V 2 MPPT","Chint Power","NXI-10K-T3","inverters","4299","10","10","380","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Chint NXI-10K-T3 10kW Trifásico 380V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOFAR-3300W","Inversor Grid-Tie Sofar 3.3K-TL-G4 3.3kW Monofásico 220V 2 MPPT","Sofar","3.3K-TL-G4","inverters","1649","3.3","3.3","220","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Sofar 3.3K-TL-G4 3.3kW Monofásico 220V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOFAR-5000W","Inversor Grid-Tie Sofar 5K-TL-G4 5kW Monofásico 220V 2 MPPT","Sofar","5K-TL-G4","inverters","2449","5","5","220","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Sofar 5K-TL-G4 5kW Monofásico 220V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOFAR-6000W","Inversor Grid-Tie Sofar 6K-TL-G4 6kW Monofásico 220V 2 MPPT","Sofar","6K-TL-G4","inverters","2799","6","6","220","","","/images/placeholder-inverter.jpg","","true","Inversor Grid-Tie Sofar 6K-TL-G4 6kW Monofásico 220V 2 MPPT","","7"
"odex_inverters_ODEX-INV-DEYE-800W","Microinversor Deye SUN-M80G4-EU-Q0 800W 220V 2 painéis","Deye","80G4-EU-Q0","inverters","986","0.8","80","220","","","/images/placeholder-inverter.jpg","","true","Microinversor Deye SUN-M80G4-EU-Q0 800W 220V 2 painéis","","5"
