MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiButtonBase-root 3,MuiTypography-root 4,notranslate
https://portalb2b.neosolar.com.br/novo-pedido/produto/22714,https://portal.zydon.com.br/api/files/ef40f042-42c1-4422-8da2-02add0ed2f70/content?ingress=portalb2b.neosolar.com.br,Microinversor Deye SUN2250 G4 Monofásico 2250W - 220V - MLPE e Wi-Fi Integrado,Microinversor Deye Sun2250 G4 – Wi-Fi Integrado – Potência Contínua: 2250 W – Tensão: 220 V – Garantia: de 12 anos (já incluídos os 90 dias da garantia legal).,Microinversor Deye Sun2250 G4 – Wi-Fi Integrado – Potência Contínua: 2250 W – Tensão: 220 V – Garantia: de 12 anos (já incluídos os 90 dias da garantia legal).,,"R$ 1.220,16",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/23309,https://portal.zydon.com.br/api/files/570d4def-d812-4096-ae56-ba85bbabce74/content?ingress=portalb2b.neosolar.com.br,Inversor Híbrido On + Off Grid Deye SUN5K (EU) SG04 - 5000W - 48/220V,"Inversor Solar On Grid Híbrido Deye de 5000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Solar On Grid Híbrido Deye de 5000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",Indisponível,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23783,https://portal.zydon.com.br/api/files/892d28e3-e641-4944-a9f5-fd5feda881b4/content?ingress=portalb2b.neosolar.com.br,Inversor Carregador Off Grid Híbrido Epever HP3542 - 60A MPPT - 48/220V,Inversor Solar Epever com tripla função (Inversor + Controlador de Carga MPPT + Carregador CA) - Opera com e sem bateria.,Inversor Solar Epever com tripla função (Inversor + Controlador de Carga MPPT + Carregador CA) - Opera com e sem bateria.,Indisponível,"R$ 3.849,86",
https://portalb2b.neosolar.com.br/novo-pedido/produto/23782,https://portal.zydon.com.br/api/files/fd73afef-306e-4f6a-998c-ba29a4e37dc2/content?ingress=portalb2b.neosolar.com.br,Inversor Carregador Epever HP3522 - 110A MPPT - 24/220V,P. Surto: 3.500W | Faixa MPPT: 85 ~ 400V | Paralelismo: Máx. 16 un | Compatível c/ Lítio,P. Surto: 3.500W | Faixa MPPT: 85 ~ 400V | Paralelismo: Máx. 16 un | Compatível c/ Lítio,Indisponível,"R$ 4.248,18",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20217,https://portal.zydon.com.br/api/files/8d72155b-f675-49d9-8cb2-769f5556464c/content?ingress=portalb2b.neosolar.com.br,Inversor Híbrido On + Off Grid Deye SUN5K - 5000W - 48/220V,---,,Indisponível,"R$ 8.058,09",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20252,https://portal.zydon.com.br/api/files/20f3c8d5-e087-4b42-96b5-51f57496562d/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP1500-11 (T-BR) - 1500W 12/110V,"O Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação (já incluindo os 90 dias da garantia legal).","O Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação (já incluindo os 90 dias da garantia legal).",Indisponível,"R$ 1.141,82",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20253,https://portal.zydon.com.br/api/files/b40a503d-6cf6-4ef0-9f20-c1b34db80bc2/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid  Senoidal Epever IPower Plus IP1500-12 (T-BR) - 1500W 12/220V,"Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",Indisponível,"R$ 1.028,33",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20255,https://portal.zydon.com.br/api/files/fc35bd57-6243-4b80-851a-1dd35288b904/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP2000-21 (T-BR) - 2000W 24/120V,"Inversor Epever Ipower Plus de 24Vcc para 120Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 120Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",Indisponível,"R$ 1.322,80",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20256,https://portal.zydon.com.br/api/files/34ddc664-12b8-471a-b171-84aec724b1d6/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP2000-22 (T-BR) - 2000W 24/220V,"Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindos os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindos os 90 dias da garantia legal) contra defeito de fabricação.",Indisponível,"R$ 1.102,87",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20258,https://portal.zydon.com.br/api/files/0f08862f-63dd-45b3-8999-44a619d3f7a0/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-21 (T-BR) - 3000W 24/127V,"Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",Indisponível,"R$ 1.400,83",
