mnl__label__root,MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
ATÉ 1.36%,https://portalb2b.neosolar.com.br/novo-pedido/produto/23168,https://portal.zydon.com.br/api/files/1dd0cdbd-d9b4-49fe-bbb9-e8c9bbaf58a9/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 260W Monocristalina - ZTROON - ZTP-260M,Painel Solar 260W ZTROON com 56 células de silício monocristalinos. Gera até 1.300 Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 341,90",​,
ATÉ 2.71%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24464,https://portal.zydon.com.br/api/files/4ad82df3-cd35-4a50-a1db-26cbac4b0ba9/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 310W Monocristalina - ZTROON - ZTP-310MI,Painel Solar 310W ZTROON com 60 células de silício monocristalinos. Gera até 1.290Wh/dia em condições de STC e possui garantia de 15 anos contra defeito de fabricação,"R$ 377,98",​,
ATÉ 5.45%,https://portalb2b.neosolar.com.br/novo-pedido/produto/23167,https://portal.zydon.com.br/api/files/b15a75ee-cef2-4865-8910-aa93e665bc45/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 210W Monocristalina - ZTROON - ZTP-210M,Painel Solar 210W ZTROON com 64 células de silício monocristalinos. Gera até 1.050Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 287,77",​,
ATÉ 6.9%,https://portalb2b.neosolar.com.br/novo-pedido/produto/22905,https://portal.zydon.com.br/api/files/d5ff43a0-e818-415b-bba7-15a7171f2d40/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 60W Monocristalina - ZTROON - ZTP-060M,Painel Solar 60W ZTROON com 32 células de silício monocristalinos. Gera até 30Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 149,40",​,
ATÉ 6.9%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24461,https://portal.zydon.com.br/api/files/a2aaeb80-7831-436f-99c2-5609e5ba3a21/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 30W - ZTROON - ZTP-030MI.,Painel Solar 30W ZTROON com 36 células de silício monocristalinos. Gera até 150Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 94,07",​,
ATÉ 4.13%,https://portalb2b.neosolar.com.br/novo-pedido/produto/23887,https://portal.zydon.com.br/api/files/c371744b-3b0e-48bf-bdf8-3b7e8917531b/content?ingress=portalb2b.neosolar.com.br,Painel Solar Fotovoltaico 435W - Longi LR5-54HTH-435M (23887),O Painel Solar de 435W da marca Longi possui 108 células de silício monocristalino e pode gerar até 1.740Wh/dia. Garantia de 15 anos contra defeito de fabricação e garantia linear de produção de 25 anos.,"R$ 449,70",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/23113,https://portal.zydon.com.br/api/files/f8783573-d760-4253-a15f-1379c7c2175d/content?ingress=portalb2b.neosolar.com.br,Placa Solar Flexível 50W Monocristalina ZTROON ZTF-50M,"Painel Solar Flexível 50W ZTF-50M - G  | Marca: ZTROON | 32 Células de Silício Monocristalino | Eficiência: 15,93% | Grau de Proteção: IP67","R$ 275,37",​,
ATÉ 5.08%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24264,https://portal.zydon.com.br/api/files/9239da01-bd72-4283-8eb0-49fa54da72cb/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 585W - OSDA ODA585-36V-MHD,"Placa Solar de 585W Bifacial da marca OSDA, possui 144 células de Silício Monocristalino Half Cell e pode gerar até 2.340Wh/dia. Garantia de 15 anos contra defeito de fabricação e garantia linear de produção de 30 anos.","R$ 529,22",,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20324,https://portal.zydon.com.br/api/files/f4320d96-023c-49d4-9b9a-d2610c33575e/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 550W Monocristalina Sunova SS-550-72MDH,O Painel Solar de 550W da marca Sunova possui 144 células de silício monocristalino PERC Half Cell e pode gerar até 2.200Wh/dia. Garantia de 15 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação e garantia linear de produção de 25 anos.,"R$ 468,19",,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20684,https://portal.zydon.com.br/api/files/513588a2-fe4c-476e-8843-bb61352f79fa/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 575W Monocristalino OSDA ODA575-36V-MH,O Painel Solar de 575W da marca OSDA possui 144 células de silício monocristalino PERC Half Cell e pode gerar até 2.200Wh/dia. Garantia de 12 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação e garantia linear de produção de 30 anos.,"R$ 531,33",,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20292,https://portal.zydon.com.br/api/files/5b51a489-f484-4ddd-86a5-ef82df8467f7/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 595W Monocristalina Luxen LNVH-595M,"A Placa Solar Series 5 de 595W da marca Luxen Solar possui 156 células de silício monocristalino e tecnologias de alto nível como Half Cut e a dopagem de gálio para maior eficiência no longo prazo. Tem garantia total de 12 anos, já incluindo os 90 dias legais contra defeito de fabricação.","R$ 520,38",,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20295,https://portal.zydon.com.br/api/files/bb4efb2a-c224-4091-b056-07420227493e/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 550W Monocristalino Luxen - LNVU-550M,"A Placa Solar Series 5 de 550W da marca Luxen Solar possui 144 células de silício monocristalino e tecnologias de alto nível como Half Cut e a dopagem de gálio para maior eficiência no longo prazo. Tem garantia total de 12 anos, já incluindo os 90 dias legais contra defeito de fabricação.","R$ 509,47",,Indisponível
ATÉ 3.32%,https://portalb2b.neosolar.com.br/novo-pedido/produto/20298,https://portal.zydon.com.br/api/files/8284dbb9-c8f9-4876-b88d-7ba0a179940e/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 330W Policristalino OSDA ODA330-36-P,O Painel Solar de 330W da marca OSDA possui 72 células de silício policristalino e pode gerar até 1113Wh/dia. Garantia de 12 anos contra defeito de fabricação e garantia linear de produção de 25 anos.,"R$ 414,29",,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/27649,https://portal.zydon.com.br/api/files/2ddff027-e743-45d9-85cd-3450e5a85a0d/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica RenePV 700W Bifacial - ZY700G12HNHB-132,"O Painel Solar de 700W da marca RenePV possui 132 células de silício monocristalino, pode gerar até 2800Wh/dia. Garantia de 12 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação e garantia linear de produção de 30 anos.",,,Indisponível
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20766,https://portal.zydon.com.br/api/files/e3de8401-3039-4df5-afea-57ba6d4e9576/content?ingress=portalb2b.neosolar.com.br,Painel Solar Fotovoltaico 580W - OSDA ODA580-36V-MH,O Painel Solar de 580W da marca OSDA possui 144 células de silício monocristalino com tecnologia TOPCON e pode gerar até 2.200Wh/dia. Garantia de 12 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação e garantia linear de produção de 30 anos.,"R$ 520,38",,Indisponível
