ng-star-inserted src,topo,topo 2,mt-2,ng-star-inserted,mt-2 2,ng-star-inserted 2,m-0 href,text-center 2,text-center 3,text-center 4,text-left 6,text-center 6,text-left 7,text-center 7,text-left 8,text-center 8,text-left 9,text-center 9
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/55d33903-af5a-4224-9173-d7569994b11e.webp?t=1753131396,"KP03 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL  - MICROINVERSOR DEYE 2.25KW - 2,84 kWp - Mini Trilho - CD SUDESTE | PRONTA ENTREGA","R$4.147,85","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR DEYE 2.25KW (SUN-M225G4-EU-Q0-I) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse24,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,1,CONECTOR | FEMEA/MACHO | TIPO MC4,8,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/dc1cbe4c-c51c-405a-9bee-026edd54074b.webp?t=1752514035,"KP02 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR TSUNESS2250W - 2,84 kWp - Mini Trilho - CD SUDESTE| PRONTA ENTREGA","R$4.265,31","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR TSUNESS 2.25KW (TSOL-MX2250) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse25,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,1,CONECTOR | FEMEA/MACHO | TIPO MC4,8,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/7759d37a-9e1c-4da5-8553-6523b0c26ff2.webp?t=1753131398,"KP03 -TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR DEYE 2.25KW - 2,84 kWp - Cerâmico - CD SUDESTE | PRONTA ENTREGA","R$4.509,73","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR DEYE 2.25KW (SUN-M225G4-EU-Q0-I) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse26,4,1,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,6,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),2,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/eaf95169-d853-45eb-9f82-42e646cb1a33.webp?t=1752514037,"KP02 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR TSUNESS2250W - 2,84 kWp - Cerâmico - CD SUDESTE| PRONTA ENTREGA","R$4.627,17","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR TSUNESS 2.25KW (TSOL-MX2250) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse27,4,1,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,6,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),2,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/20267917-c4a9-4ccd-b78d-ed147afaf3bc.webp?t=1758223207,"KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - MICROINVERSOR TSUNESS 3KW - 3,42 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$5.106,22","SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO",Quantidade: 6,MICROINVERSOR TSUNESS 3KW (TSOL-MX3000D) MONOFÁSICO 220V (3 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse28,6,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,2,CONECTOR | FEMEA/MACHO | TIPO MC4,12,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/0d7615de-6fa3-44eb-9589-5556b8ab2ccd.webp?t=1758133267,"KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - INVERSOR AUXSOL 3KW MONO 220 - 3,99 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$5.148,30","SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO",Quantidade: 7,INVERSOR AUXSOL 3KW (SL) MONOFÁSICO 220V (1 MPPT) C/ AFCI,Quantidade: 1,https://app.fotus.com.br/#collapse29,7,1,1,KIT TELHADO MINITRILHO | SOLAR GROUP | 4 MÓDULOS,2,TRILHO ALUMÍNIO P/ TELHADO METÁLICO MINITRILHO | SOLAR GROUP | 0.5M,20,CONECTOR | FEMEA/MACHO | TIPO MC4,2,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/95badfd2-af7b-40bf-a423-d6c45160a2a4.webp?t=1753131400,"KP03 -TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR DEYE 2.25KW - 2,84 kWp - Fibrocimento - CD SUDESTE| PRONTA ENTREGA","R$4.540,14","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR DEYE 2.25KW (SUN-M225G4-EU-Q0-I) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse30,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | PERFIL ALUMÍNIO/SOLAR GROUP/PRATYC,1,KIT TELHADO FIBROCIMENTO | SOLAR GROUP | FIXAÇÃO LATERAL | 4 MÓDULOS (4.8M),2,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | SOLAR GROUP | 2.4M | FIXAÇÃO LATERAL,6,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/ed9ff68e-d7cf-4998-9376-caf172fe132e.webp?t=1752514039,"KP02 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR TSUNESS2250W - 2,84 kWp - Fibrocimento - CD SUDESTE| PRONTA ENTREGA","R$4.657,58","TRINA | TIER 1 | 710W N-TYPE BIFACIAL (22,90% EF.)",Quantidade: 4,MICROINVERSOR TSUNESS 2.25KW (TSOL-MX2250) MONOFÁSICO 220V (4 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse31,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | PERFIL ALUMÍNIO/SOLAR GROUP/PRATYC,1,KIT TELHADO FIBROCIMENTO | SOLAR GROUP | FIXAÇÃO LATERAL | 4 MÓDULOS (4.8M),2,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | SOLAR GROUP | 2.4M | FIXAÇÃO LATERAL,6,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/d4433ffe-5167-424b-a4e2-c3f093cea839.webp?t=1758219515,"KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - MICROINVERSOR DEYE 2.25KW - 3,42 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$5.177,30","SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO",Quantidade: 6,MICROINVERSOR DEYE 2.25KW (SUN-M225G4-EU-Q0-I) MONOFÁSICO 220V (4 MLPE),Quantidade: 2,https://app.fotus.com.br/#collapse32,6,2,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,2,CONECTOR | FEMEA/MACHO | TIPO MC4,12,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/c78ff365-d0f7-4523-bfa5-969e705ba87e.webp?t=1758223208,"KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - MICROINVERSOR TSUNESS 3KW - 3,42 kWp - Cerâmico - CD ESPÍRITO SANTO","R$5.202,22","SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO",Quantidade: 6,MICROINVERSOR TSUNESS 3KW (TSOL-MX3000D) MONOFÁSICO 220V (3 MLPE),Quantidade: 1,https://app.fotus.com.br/#collapse33,6,1,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,6,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),2,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,CONECTOR | FEMEA/MACHO | TIPO MC4,12
