loaded src,subtitle,price,placeholder src,loaded src 2
https://cdn-ecommerce.solfacil.com.br/contents/products/000612/images/IMAGE_PRODUCT_000612.jpg,UNIDADE DE CONTROLE [PCU-F52] - PARA BATERIA LX F3.2-20,"R$ 5.322,94",,
https://cdn-ecommerce.solfacil.com.br/contents/products/000607/images/IMAGE_PRODUCT_000607.jpg,BATERIA LFP LYNX F (G2) LX F3.2-20 - 3.2KWH - GOODWE,"R$ 5.983,17",,
,BATERIA UNIP LFP UPLFP48100 EN - 48V 100AH RACK - LP 5.1KWH - UNIPOWER,"R$ 6.255,94",http://prd-solar-inove-api.domain-ecommerce.svc.cluster.local/public/files/products/images/afe2b65c6e13_image.png,
https://cdn-ecommerce.solfacil.com.br/contents/products/850004/images/IMAGE_PRODUCT_850004.png,BATERIA LFP LYNX U (G3) LXU 5.0-30 - 5KWH - GOODWE,"R$ 7.323,74",,https://cdn-ecommerce.solfacil.com.br/contents/products/850004/images/IMAGE_PRODUCT_850004.png
