img-content-orders src,img-content-orders src 2,fw-semibold,text-orders-price,details-card
https://prod-platform-api.s3.amazonaws.com/components/68500752d2d60d325a684b96/PAINEL-BYD-BYD-530W-MLK-36---530W.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8c7/IIN00126.png,"3,18 kWp","R$ 7.538,06","3.18kWp - R$ 2,37/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/68275a028d3cd4ac4215d6cf/IIN00349.png,"3,45 kWp","R$ 7.628,97","3.45kWp - R$ 2,21/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/67818a5fc57f3b2021da95a0/IIN00302.png,"5,67 kWp","R$ 7.635,62","5.67kWp - R$ 1,35/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68500752d2d60d325a684b96/PAINEL-BYD-BYD-530W-MLK-36---530W.png,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985b/IIN00364.png,"4,24 kWp","R$ 7.643,15","4.24kWp - R$ 1,80/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/682e22bca14a42eee678f83a/IIN00352.png,"3,45 kWp","R$ 7.790,98","3.45kWp - R$ 2,26/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/66880a777bc71b60358a5af0/SUNGROW-SG4.0RS-220V-2MPPT.png,"5,67 kWp","R$ 7.972,96","5.67kWp - R$ 1,41/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c897/IIN00193.png,"4,03 kWp","R$ 8.074,73","4.025kWp - R$ 2,01/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/670d5c35dac72e01f686b281/GROWATT-MIC-3000TL-X2-220V-1MPPT.png,"4,03 kWp","R$ 8.108,13","4.025kWp - R$ 2,01/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/66880a777bc71b60358a5aef/SUNGROW-SG3.0RS-220V-1MPPT.png,"4,03 kWp","R$ 8.251,46","4.025kWp - R$ 2,05/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8be/IIN00071.png,"4,41 kWp","R$ 8.280,75","4.41kWp - R$ 1,88/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c85d/GROWATT%20MIC3000TL-X%20-220V%20-%201MPPT.png,"4,03 kWp","R$ 8.313,71","4.025kWp - R$ 2,07/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/67818a5fc57f3b2021da959f/IIN00301_v2.png,"4,03 kWp","R$ 8.456,79","4.025kWp - R$ 2,10/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985b/IIN00364.png,"4,03 kWp","R$ 8.571,01","4.025kWp - R$ 2,13/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c88f/IIN00184.png,"7,32 kWp","R$ 8.587,70","7.32kWp - R$ 1,17/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,https://prod-platform-api.s3.amazonaws.com/components/6691a7697f99e1700d66acbd/IIN00251.png,"7,32 kWp","R$ 8.653,60","7.32kWp - R$ 1,18/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68500752d2d60d325a684b96/PAINEL-BYD-BYD-530W-MLK-36---530W.png,https://prod-platform-api.s3.amazonaws.com/components/674e1fe18b02c0d00962193e/Enphase-IQB.png,"3,18 kWp","R$ 8.660,46","3.18kWp - R$ 2,72/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c88f/IIN00184.png,"6,93 kWp","R$ 8.707,04","6.93kWp - R$ 1,26/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/6691a7697f99e1700d66acbd/IIN00251.png,"6,93 kWp","R$ 8.772,94","6.93kWp - R$ 1,27/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8a3/SUNGROW-SG5.0RS-220V-2MPPT.png,"7,32 kWp","R$ 8.823,93","7.32kWp - R$ 1,21/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985c/IIN00365.png,"7,32 kWp","R$ 8.831,25","7.32kWp - R$ 1,21/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,https://prod-platform-api.s3.amazonaws.com/components/67818a5fc57f3b2021da95a1/IIN00303.png,"7,32 kWp","R$ 8.834,90","7.32kWp - R$ 1,21/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8c7/IIN00126.png,"3,45 kWp","R$ 8.942,84","3.45kWp - R$ 2,59/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8a3/SUNGROW-SG5.0RS-220V-2MPPT.png,"6,93 kWp","R$ 8.943,28","6.93kWp - R$ 1,29/ Wp"
https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985c/IIN00365.png,"6,93 kWp","R$ 8.950,59","6.93kWp - R$ 1,29/ Wp"
