card-title,img-content-orders src,fw-semibold,text-orders-price
IMO00135,https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,PAINEL DMEGC 610 WP DM610G12RT-B66HSW BF,"R$ 567,71"
IMO00132,https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,PAINEL LONGI LR7-72HTH-630M HORIZON,"R$ 695,83"
IMO00131,https://prod-platform-api.s3.amazonaws.com/components/68500752d2d60d325a684b96/PAINEL-BYD-BYD-530W-MLK-36---530W.png,PAINEL BYD BYD-530W-MLK-36 - 530W,"R$ 728,12"
IMO00093,https://prod-platform-api.s3.amazonaws.com/components/66d778fb02c2dc75cdab12df/IMO00093.png,PAINEL BYD BYD575HRP72S - 575W,"R$ 966,67"
