card-title,img-content-orders src,fw-semibold,text-orders-price
IEF00243,https://fortlevsolar.app/produto-avulso?familia=structure,"PERFIL SUPORTE SMART 2,70M","R$ 80,07"
IEF00302,https://fortlevsolar.app/produto-avulso?familia=structure,"PERF ACAB US75X51X225 1,70MM S400GD ZM310 - ST1 -","R$ 12,87"
IEF00221,https://fortlevsolar.app/produto-avulso?familia=structure,"TESOURA 3300MM ESP 1,95 - FLS","R$ 273,20"
IEF00220,https://fortlevsolar.app/produto-avulso?familia=structure,"PILAR 2425MM ESP 1,95 - FLS","R$ 182,81"
IEF00242,https://fortlevsolar.app/produto-avulso?familia=structure,"TESOURA 3700MM ESP 1,25 - FLS","R$ 171,62"
ILS00026,https://prod-platform-api.s3.amazonaws.com/components/678a707b43420463fe47040b/icon-318x647.png,"PERFIL Z - TERCA 4580MM ESP 1,2 - FLS","R$ 157,86"
IEF00238,https://prod-platform-api.s3.amazonaws.com/components/6776d42cb9c09ac542e3c577/icon-318x647.png,GRAMPO DE ATERRAMENTO FLS,"R$ 8,55"
ILS00025,https://prod-platform-api.s3.amazonaws.com/components/67589dcea8c9296f8520a301/icon-318x647.png,"PERFIL Z - TERCA 2290MM ESP 1,2 - FLS","R$ 77,27"
ILS00024,https://prod-platform-api.s3.amazonaws.com/components/675350c6345ed96c35daa5cd/icon-318x647.png,"PERFIL Z - TERCA 3430MM ESP 1,2 - FLS","R$ 127,40"
IEF00216,https://prod-platform-api.s3.amazonaws.com/components/674a012f1db1856141bd4ddd/icon-318x647.png,"TERCA 3100MM ESP 1,25 - FLS","R$ 131,25"
IEF00207,https://prod-platform-api.s3.amazonaws.com/components/67476c3f43ccb8eece3afa30/IEF00129.png,"PERFIL PLANO SMART 2,40","R$ 117,75"
IEF00208,"https://prod-platform-api.s3.amazonaws.com/components/6734f73da95edd542d6b34eb/Perfil-refor%C3%A7ado-smart-2,40.png","PERFIL REFORCADO SMART 2,40","R$ 135,56"
ILS00019,https://prod-platform-api.s3.amazonaws.com/components/66bb66e80ea330bc9d038f66/ILS00019.png,LASTRO SOLAR PE V2 (FIXO 15 GRAUS),"R$ 509,10"
ILS00017,https://prod-platform-api.s3.amazonaws.com/components/66b3b62a51d7cf33a7085c19/ILS00012.png,"PERFIL Z - TERCA 4580MM ESP 1,2","R$ 116,83"
IEF00177,https://prod-platform-api.s3.amazonaws.com/components/66b3b62951d7cf33a7085c13/icon-318x647.png,"MAO FRANCESA 1750 MM 1,95 ESP 38,10 D","R$ 93,35"
IEF00204,https://prod-platform-api.s3.amazonaws.com/components/66880a777bc71b60358a5aee/IEF00127.webp,"PERFIL SUPORTE SMART 4,8M","R$ 148,56"
IEF00203,https://prod-platform-api.s3.amazonaws.com/components/66880a777bc71b60358a5aed/IEF00203.png,"PERFIL SUPORTE SMART 2,40M","R$ 72,71"
ITR00085,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c976/ITR00085.png,"PARAFUSO HEX M61,0 X 45MM","R$ 0,63"
ITR00056,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c966/ITR00056.png,"PARAFUSO HEX M61,0 X 12MM","R$ 0,30"
ILS00010,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8ee/ILS00010.png,GRAMPO INTERMEDIÁRIO GALVANIZADO,"R$ 9,42"
ILS00008,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8ed/ILS00008.png,PARAFUSO SEXTAVADO M6X12 INOX,"R$ 0,49"
ILS00007,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8ec/icon-318x647.png,PORCA SX  M6 INOX,"R$ 0,26"
ILS00006,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8eb/icon-318x647.png,PARAFUSO SEXTAVADO M6X45 INOX,"R$ 0,95"
ILS00004,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8ea/ILS00004.png,TUBETE PERFIL 29X9DX1P,"R$ 1,04"
ILS00003,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8e9/ILS00003.png,"LUVA P/ PERFIL Z 340MM ESP 1,2","R$ 13,35"
IEF00009,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c84d/IEF00009.png,JUNCAO U DO PERFIL,"R$ 16,43"
IEF00073,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c849/IEF00073.png,PARAFUSO SEXTAVADO M6X50,"R$ 0,85"
IEF00023,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c844/IEF00023.png,"ESPUMA EPDM ADESIVA 30X2 MM 2,5M","R$ 7,26"
IEF00040,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c842/IEF00040.png,PARAFUSO MARTELO M10X30,"R$ 2,46"
IEF00076,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c840/icon-318x647.png,ACESSORIO PROLONGADOR DO GANCHO,"R$ 5,92"
IEF00173,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c83d/IEF00173.png,PARAFUSO PRISIONEIRO M10X250 P. BROCA (FIBROMETAL),"R$ 22,77"
IEF00046,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c83a/icon-318x647.png,PARAFUSO PRISIONEIRO M10X300 (FIBROMADEIRA),"R$ 29,92"
IEF00045,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c839/IEF00045.png,PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA),"R$ 21,91"
IEF00044,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c838/IEF00044.png,"PARAFUSO AUTOBROCANTE M5,5X25MM","R$ 0,36"
IEF00016,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c836/IEF00016.png,GANCHO TELHA CERAMICA,"R$ 44,64"
IEF00154,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c834/IEF00154.png,SUPORTE ZIPADO,"R$ 21,69"
IEF00144,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c833/IEF00144.png,SUPORTE SHINGLE,"R$ 24,39"
IEF00133,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c831/IEF00133.png,TRIANGULO SMART,"R$ 135,75"
IEF00132,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c830/IEF00132.png,GRAMPO TERMINAL SMART,"R$ 9,11"
IEF00131,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c82f/IEF00131.png,GRAMPO INTERMEDIARIO SMART,"R$ 6,13"
IEF00143,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c819/icon-318x647.png,"PERFIL SUPORTE SMART 2,10M","R$ 64,51"
IEF00129,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c815/IEF00129.png,"PERFIL PLANO SMART 0,50M","R$ 22,12"
IEF00127,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c813/IEF00127.png,"PERFIL SUPORTE SMART 4,20M","R$ 128,53"
IEF00163,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c80c/IEF00163.png,"MAO FRANCESA 1250 MM 1,95 ESP 44,45 D","R$ 79,54"
IEF00162,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c80b/icon-318x647.png,"REFORCO 3335MM ESP 1,25","R$ 147,01"
IEF00100,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c806/IEF00100.png,ARRUELA DIN125 M10 GEOMET,"R$ 0,30"
IEF00099,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c805/icon-318x647.png,PORCA SX DIN934 M10 GEOMET,"R$ 0,54"
IEF00098,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c804/IEF00098.png,PARAFUSO SEXTAVADO DIN933 M10X25 GEOMET,"R$ 1,41"
IEF00096,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c802/IEF00096.png,CHAPA CANTONEIRA TERCA,"R$ 10,46"
IEF00091,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7fe/icon-318x647.png,REFORCO CONTRAVENTO 2418MM,"R$ 172,00"
IEF00090,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7fd/IEF00090.png,TERCA 4240MM,"R$ 285,95"
ILS00009,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7f6/ILS00009.png,ARRUELA M6 INOX,"R$ 0,28"
IEF00168,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7f4/IEF00168.png,GRAMPO MODULO SOLO - BAIXO,"R$ 10,94"
IEF00172,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7f3/icon-318x647.png,"MAO FRANCESA 1750 MM 1,95 ESP","R$ 80,69"
