" src",," 2",card-content,btn href,card-content 2,btn 2,btn href 2,card-content 3,btn 3,btn href 3
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c865/IIN00065.png,IIN00065,GROWATT ON-GRID 6KW - 220V - 2 MPPT (MIN6000TL-X),CERTIFICADO DO INMETRO - IIN00065 - GROWATT MIN6000TL-X - 220V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c865/CERTIFICADO%20DO%20INMETRO%20-%20IIN00065%20-%20GROWATT%20MIN6000TL-X%20-%20220V%20-%202MPPT.pdf,MANUAL - IIN00065 - GROWATT MIN6000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c865/MANUAL%20-%20IIN00065%20-%20GROWATT%20MIN6000TL-X%20-%20220V%20-%202MPPT.pdf,DATASHEET - IIN00065 - GROWATT MIN6000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c865/DATASHEET%20-%20IIN00065%20-%20GROWATT%20MIN6000TL-X%20-%20220V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c866/IIN00066.png,IIN00066,GROWATT MIN3000TL-X - 220V - 2MPPT,CERTIFICADO DO INMETRO - IIN00066 - GROWATT MIN3000TL-X - 220V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c866/CERTIFICADO%20DO%20INMETRO%20-%20IIN00066%20-%20GROWATT%20MIN3000TL-X%20-%20220V%20-%202MPPT.pdf,DATASHEET - IIN00066 - GROWATT MIN3000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c866/DATASHEET%20-%20IIN00066%20-%20GROWATT%20MIN3000TL-X%20-%20220V%20-%202MPPT.pdf,MANUAL - IIN00066 - GROWATT MIN3000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c866/MANUAL%20-%20IIN00066%20-%20GROWATT%20MIN3000TL-X%20-%20220V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c867/IIN00067.png,IIN00067,GROWATT MIN8000TL- X (E) - 220V - 2MPPT,CERTIFICADO DO INMETRO - IIN00067 - GROWATT MIN8000TL- X (E) - 220V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c867/CERTIFICADO%20DO%20INMETRO%20-%20IIN00067%20-%20GROWATT%20MIN8000TL-%20X%20(E)%20-%20220V%20-%202MPPT.pdf,DATASHEET - IIN00067 - GROWATT MIN8000TL- X (E) - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c867/DATASHEET%20-%20IIN00067%20-%20GROWATT%20MIN8000TL-%20X%20(E)%20-%20220V%20-%202MPPT.pdf,MANUAL - IIN00067 - GROWATT MIN8000TL- X (E) - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c867/MANUAL%20-%20IIN00067%20-%20GROWATT%20MIN8000TL-%20X%20(E)%20-%20220V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c868/IIN00068.png,IIN00068,GROWATT MIN5000TL-X - 220V - 2MPPT,CERTIFICADO DO INMETRO - IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c868/CERTIFICADO%20DO%20INMETRO%20-%20IIN00068%20-%20GROWATT%20MIN5000TL-X%20-%20220V%20-%202MPPT.pdf,DATASHEET - IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c868/DATASHEET%20-%20IIN00068%20-%20GROWATT%20MIN5000TL-X%20-%20220V%20-%202MPPT.pdf,MANUAL - IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c868/MANUAL%20-%20IIN00068%20-%20GROWATT%20MIN5000TL-X%20-%20220V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c869/IIN00088.png,IIN00088,GROWATT MIN10000TL - X - 220V - 3MPPT,CERTIFICADO DO INMETRO - IIN00088 - GROWATT MIN10000TL - X - 220V - 3MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c869/CERTIFICADO%20DO%20INMETRO%20-%20IIN00088%20-%20GROWATT%20MIN10000TL%20-%20X%20-%20220V%20-%203MPPT.pdf,DATASHEET - IIN00088 - GROWATT MIN10000TL - X - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c869/DATASHEET%20-%20IIN00088%20-%20GROWATT%20MIN10000TL%20-%20X%20-%20220V%20-%203MPPT.pdf,MANUAL - IIN00088 - GROWATT MIN10000TL - X - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c869/MANUAL%20-%20IIN00088%20-%20GROWATT%20MIN10000TL%20-%20X%20-%20220V%20-%203MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86a/IIN00089.png,IIN00089,SUNGROW SG12RT - 380V - 2MPPT,CERTIFICADO DE CONFORMIDADE - IIN00089 - SUNGROW SG12RT - 380V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86a/CERTIFICADO%20DE%20CONFORMIDADE%20-%20IIN00089%20-%20SUNGROW%20SG12RT%20-%20380V%20-%202MPPT.pdf,DATASHEET - IIN00089 - SUNGROW SG12RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86a/DATASHEET%20-%20IIN00089%20-%20SUNGROW%20SG12RT%20-%20380V%20-%202MPPT.pdf,MANUAL - IIN00089 - SUNGROW SG12RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86a/MANUAL%20-%20IIN00089%20-%20SUNGROW%20SG12RT%20-%20380V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86b/IIN00090.png,IIN00090,SUNGROW SG15RT - 380V - 2MPPT,CERTIFICADO DE CONFORMIDADE - IIN00090 - SUNGROW SG15RT - 380V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86b/CERTIFICADO%20DE%20CONFORMIDADE%20-%20IIN00090%20-%20SUNGROW%20SG15RT%20-%20380V%20-%202MPPT.pdf,DATASHEET - IIN00090 - SUNGROW SG15RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86b/DATASHEET%20-%20IIN00090%20-%20SUNGROW%20SG15RT%20-%20380V%20-%202MPPT.pdf,MANUAL - IIN00090 - SUNGROW SG15RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86b/MANUAL%20-%20IIN00090%20-%20SUNGROW%20SG15RT%20-%20380V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86c/IIN00091.png,IIN00091,SUNGROW SG20RT - 380V - 2MPPT,CERTIFICADO DE CONFORMIDADE - IIN00091 - SUNGROW SG20RT - 380V - 2MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86c/CERTIFICADO%20DE%20CONFORMIDADE%20-%20IIN00091%20-%20SUNGROW%20SG20RT%20-%20380V%20-%202MPPT.pdf,DATASHEET - IIN00091 - SUNGROW SG20RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86c/DATASHEET%20-%20IIN00091%20-%20SUNGROW%20SG20RT%20-%20380V%20-%202MPPT.pdf,MANUAL - IIN00091 - SUNGROW SG20RT - 380V - 2MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c86c/MANUAL%20-%20IIN00091%20-%20SUNGROW%20SG20RT%20-%20380V%20-%202MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c877/IIN00109.png,IIN00109,GROWATT MAC36KTL3-XL - 220V - 3MPPT,CERTIFICADO DE CONFORMIDADE - IIN00109 - GROWATT MAC36KTL3-XL - 220V - 3MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c877/CERTIFICADO%20DE%20CONFORMIDADE%20-%20IIN00109%20-%20GROWATT%20MAC36KTL3-XL%20-%20220V%20-%203MPPT.pdf,DATASHEET - IIN00109 - GROWATT MAC36KTL3-XL - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c877/DATASHEET%20-%20IIN00109%20-%20GROWATT%20MAC36KTL3-XL%20-%20220V%20-%203MPPT.pdf,MANUAL - IIN00109 - GROWATT MAC36KTL3-XL - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c877/MANUAL%20-%20IIN00109%20-%20GROWATT%20MAC36KTL3-XL%20-%20220V%20-%203MPPT.pdf
https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c878/IIN00110.png,IIN00110,GROWATT MAC30KTL3-XL - 220V - 3MPPT,CERTIFICADO DE CONFORMIDADE - IIN00110 - GROWATT MAC30KTL3-XL - 220V - 3MPPT.pdf,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c878/CERTIFICADO%20DE%20CONFORMIDADE%20-%20IIN00110%20-%20GROWATT%20MAC30KTL3-XL%20-%20220V%20-%203MPPT.pdf,DATASHEET - IIN00110 - GROWATT MAC30KTL3-XL - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c878/DATASHEET%20-%20IIN00110%20-%20GROWATT%20MAC30KTL3-XL%20-%20220V%20-%203MPPT.pdf,MANUAL - IIN00110 - GROWATT MAC30KTL3-XL - 220V - 3MPPT.pdf,Baixar,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c878/MANUAL%20-%20IIN00110%20-%20GROWATT%20MAC30KTL3-XL%20-%20220V%20-%203MPPT.pdf
