loaded src,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/401949/images/IMAGE_PRODUCT_401949.png,ESTRUTURA DE LAJE PARA 2 MODULOS - 2P,"R$ 262,86"
https://cdn-ecommerce.solfacil.com.br/contents/products/400187/images/IMAGE_PRODUCT_400187.png,ESTRUTURA METALICA - LAJE 4 MODULOS RETRADO 1134X2278 - PERFIS - POLIMAX,"R$ 684,70"
https://cdn-ecommerce.solfacil.com.br/contents/products/400188/images/IMAGE_PRODUCT_400188.png,"ESTRUTURA DE LAJE PARA 4 MODULOS - GR30/35 ""J"" - 2P","R$ 732,72"
https://cdn-ecommerce.solfacil.com.br/contents/products/400190/images/IMAGE_PRODUCT_400190.png,ESTRUTURA METALICA - SOLO MONOPOSTE LIGHT 6 MODULOS - PERFIS - POLIMAX,"R$ 1.433,88"
