loaded src,title-left,title-right,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/600381/images/IMAGE_PRODUCT_600381.png,SOFAR,25KTLX-G3-LV - AFCI,INVERSOR FOTOVOLTAICO 25KTLX-G3-LV - AFCI - SUL EX 25KW SOFAR TRI 220V,"R$ 10.489,73"
https://cdn-ecommerce.solfacil.com.br/contents/products/600404/images/IMAGE_PRODUCT_600404.png,GOODWE,GW25K-SDT-P31 - AFCI,INVERSOR FOTOVOLTAICO GW25K-SDT-P31 - AFCI EX SUL 25KW GOODWE TRI 380V,"R$ 10.609,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600010/images/image.jpg,GOODWE,GW 12KLV-MT,INVERSOR FOTOVOLTAICO GW12KLV-MT EX 12KW GOODWE TRI 220V,"R$ 10.718,45"
https://cdn-ecommerce.solfacil.com.br/contents/products/600452/images/IMAGE_PRODUCT_600452.png,GOODWE,GW25K-SDT-P31 - AFCI C/ RSD,INVERSOR FOTOVOLTAICO GW25K-SDT-P31 - AFCI C/ RSD EX SUL 25KW GOODWE TRI 380V,"R$ 11.173,53"
https://cdn-ecommerce.solfacil.com.br/contents/products/600155/images/image.png,GOODWE,GW6000-ES-BR20 - AFCI,INVERSOR FOTOVOLTAICO FLEX (BLOQUEADO) GW6000-ES-BR20 - AFCI EX 6KW GOODWE HIBRIDO MONO 220V,"R$ 11.560,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/600151/images/image.webp,GOODWE,GW6000-SBP-20,INVERSOR FOTOVOLTAICO RETROFIT GW6000-SBP-20 6KW GOODWE HIBRIDO MONO 220V,"R$ 12.119,53"
https://cdn-ecommerce.solfacil.com.br/contents/products/600265/images/image.jpeg,GOODWE,GW 15KLV-MT,INVERSOR FOTOVOLTAICO GW15KLV-MT- KIT NE 15KW GOODWE TRI 220V,"R$ 12.934,93"
https://cdn-ecommerce.solfacil.com.br/contents/products/600314/images/IMAGE_PRODUCT_600314.png,GROWATT,MID 50KTL3-X2 - AFCI,INVERSOR FOTOVOLTAICO MID 50KTL3-X2 - AFCI - SUL 50KW GROWATT TRI 380V,"R$ 12.969,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/600216/images/image.png,GOODWE,GW 30K-SDT-C30 - AFCI,INVERSOR FOTOVOLTAICO GW30K-SDT-C30 - AFCI SUL EX 30KW GOODWE TRI 380V,"R$ 13.085,25"
https://cdn-ecommerce.solfacil.com.br/contents/products/600165/images/image.jpeg,DEYE,SUN-35K-G02-LV,INVERSOR FOTOVOLTAICO SUN-35K-G02-LV - KIT 35KW DEYE TRI 220V,"R$ 13.228,00"
